status,n,share_no_start
operating,44821,0.17797461011579394
pre-construction,8760,0.8453196347031964
cancelled,2147,0.9506287843502562
announced,1284,0.6666666666666666
retired,996,0.024096385542168676
construction,875,0.768
shelved - inferred 2 y,821,0.9853836784409257
shelved,733,0.9945429740791268
cancelled - inferred 4 y,717,0.99581589958159
mothballed,258,0.07751937984496124
