type,n,share_no_coord,share_no_capacity,share_no_owner,share_no_startyear
utility-scale solar,39747,0.0,0.0,0.884066722016756,0.3546682768510831
wind,14926,0.0,0.0,0.32574031890660593,0.4080128634597347
oil/gas,2154,0.0,0.0,0.020891364902506964,0.14438254410399257
hydropower,1737,0.0,0.0,0.04605641911341393,0.1001727115716753
coal,1545,0.0,0.0,0.0,0.1423948220064725
bioenergy,638,0.0,0.0,0.09717868338557993,0.21316614420062696
nuclear,469,0.0,0.0,0.17057569296375266,0.37100213219616207
geothermal,196,0.0,0.0,0.19387755102040816,0.22959183673469388
