year,type,capacity_mw
2010,bioenergy,713.8000000000001
2010,coal,12937.0
2010,geothermal,12.3
2010,hydropower,921.0
2010,oil/gas,18136.660000000003
2010,utility-scale solar,2299.299999999999
2010,wind,7575.500000000001
2011,bioenergy,289.48
2011,coal,8820.0
2011,geothermal,107.0
2011,hydropower,1733.0
2011,oil/gas,14483.1
2011,utility-scale solar,3973.3999999999965
2011,wind,8151.700000000003
2012,bioenergy,900.8
2012,coal,10626.0
2012,geothermal,10.399999999999999
2012,hydropower,2679.0
2012,oil/gas,10521.6
2012,utility-scale solar,4927.599999999997
2012,wind,12134.8
2013,bioenergy,568.35
2013,coal,9148.0
2013,geothermal,172.6
2013,hydropower,2993.0
2013,oil/gas,12056.5
2013,utility-scale solar,3008.4000000000015
2013,wind,11473.600000000004
2014,bioenergy,812.0
2014,coal,9191.7
2014,geothermal,197.9
2014,hydropower,1072.0
2014,oil/gas,4367.1
2014,utility-scale solar,3433.5000000000014
2014,wind,9376.700000000004
2015,bioenergy,613.189
2015,coal,15816.0
2015,geothermal,204.10000000000002
2015,hydropower,2061.0
2015,oil/gas,2560.7
2015,utility-scale solar,4420.599999999999
2015,wind,12842.099999999999
2016,bioenergy,466.6
2016,coal,7061.0
2016,geothermal,83.6
2016,hydropower,2698.0
2016,oil/gas,4896.9
2016,utility-scale solar,3243.8
2016,wind,10328.699999999999
2017,bioenergy,798.636
2017,coal,5363.0
2017,geothermal,253.00000000000003
2017,hydropower,2021.0
2017,oil/gas,4231.1
2017,utility-scale solar,15034.899999999994
2017,wind,15445.999999999993
2018,bioenergy,613.0
2018,coal,581.0
2018,geothermal,329.15999999999997
2018,hydropower,1522.0
2018,oil/gas,2894.1
2018,utility-scale solar,7169.099999999993
2018,wind,9973.8
2019,bioenergy,635.31
2019,coal,4154.0
2019,geothermal,214.9
2019,hydropower,410.0
2019,oil/gas,3201.3
2019,utility-scale solar,8791.800000000007
2019,wind,13687.899999999996
2020,bioenergy,644.4
2020,coal,9250.0
2020,geothermal,104.0
2020,hydropower,2977.0
2020,oil/gas,2363.4
2020,utility-scale solar,8499.69999999999
2020,wind,12184.4
2021,bioenergy,159.0
2021,coal,3022.0
2021,geothermal,66.3
2021,hydropower,140.0
2021,nuclear,1194.0
2021,oil/gas,1701.3000000000002
2021,utility-scale solar,12209.499999999998
2021,wind,12615.899999999998
2022,bioenergy,367.0
2022,coal,2765.0
2022,hydropower,1931.0
2022,nuclear,1720.0
2022,oil/gas,3770.2000000000003
2022,utility-scale solar,14187.800000000008
2022,wind,15208.200000000006
2023,bioenergy,963.5
2023,coal,660.0
2023,geothermal,120.0
2023,hydropower,637.0
2023,nuclear,1665.0
2023,oil/gas,6506.450000000002
2023,utility-scale solar,25046.400000000012
2023,wind,17149.700000000015
2024,bioenergy,238.82999999999998
2024,coal,2900.0
2024,geothermal,35.5
2024,hydropower,542.0
2024,nuclear,1650.0
2024,oil/gas,6380.8
2024,utility-scale solar,21224.39999999995
2024,wind,10819.1
2025,bioenergy,834.0
2025,coal,1030.0
2025,geothermal,125.0
2025,hydropower,515.0
2025,nuclear,1671.0
2025,oil/gas,11622.500000000002
2025,utility-scale solar,16086.000000000002
2025,wind,6768.9000000000015
2026,bioenergy,1116.4
2026,coal,5918.0
2026,geothermal,241.5
2026,hydropower,28083.0
2026,nuclear,36640.0
2026,oil/gas,54349.499999999985
2026,utility-scale solar,62354.59999999997
2026,wind,228999.50000000003
