iso3,hydro_share,fossil_share,var_share,inter_ratio,r_hydro,r_fossil,r_var,r_nointer,joint_tail_prob,cascade_index
TUR,0.2485983891544613,0.43692723039634795,0.2859205378914125,0.027226426983980347,0.6666666666666667,0.6444444444444445,0.6222222222222222,-0.08888888888888889,0.46605433995538925,0.49888888888888894
PRT,0.3500449080969059,0.20920389181713453,0.41896997833441185,0.10343917259455576,0.7777777777777778,0.24444444444444446,0.8,-0.24444444444444446,0.46605433995538925,0.4455555555555556
ITA,0.20490075899219415,0.5891897542958145,0.1865428094692955,0.10619300661363452,0.6,0.7777777777777778,0.4666666666666667,-0.26666666666666666,0.46605433995538925,0.4377777777777778
IRL,0.03754550351478595,0.5191237205537861,0.4332587864286669,0.05141681901279708,0.26666666666666666,0.7111111111111111,0.8222222222222223,-0.15555555555555556,0.46605433995538925,0.4322222222222223
ESP,0.13242380969452197,0.25571941554967864,0.5451434672295039,0.06890684159816854,0.4666666666666667,0.35555555555555557,0.9333333333333333,-0.17777777777777778,0.46605433995538925,0.42666666666666664
GRC,0.13166782053107562,0.382575437750858,0.48575674167585153,0.1447904970155428,0.4444444444444445,0.5333333333333333,0.888888888888889,-0.37777777777777777,0.46605433995538925,0.4133333333333334
GBR,0.04403715345057923,0.38975198548681067,0.44134288033070695,0.07406170509429698,0.3111111111111111,0.5555555555555556,0.8444444444444444,-0.2,0.46605433995538925,0.4033333333333333
ROU,0.2812106264786027,0.24796039638241965,0.4064463090365187,0.1450220705184338,0.6888888888888889,0.33333333333333337,0.7555555555555555,-0.4,0.46605433995538925,0.3988888888888889
POL,0.039479123604053534,0.6102070727834529,0.3361456649942473,0.11640579492286589,0.2888888888888889,0.8,0.6888888888888889,-0.3111111111111111,0.46605433995538925,0.39666666666666667
DEU,0.044694483973422496,0.39021891410245535,0.5511078003867412,0.150276261124882,0.33333333333333337,0.5777777777777778,0.9555555555555556,-0.4444444444444445,0.46605433995538925,0.3944444444444445
LTU,0.22380718145512513,0.2566739703401435,0.487322809889701,0.36883047210300424,0.6222222222222222,0.37777777777777777,0.9111111111111111,-0.6666666666666667,0.46605433995538925,0.3755555555555555
EGY,0.044930470330960745,0.8512729518122851,0.10309307360838119,0.00844191881688071,0.35555555555555557,0.888888888888889,0.22222222222222224,-0.06666666666666667,0.46605433995538925,0.37111111111111117
LVA,0.4610812594299279,0.3262990423179242,0.20571548638498016,0.28508837739699305,0.8444444444444444,0.4444444444444445,0.48888888888888893,-0.6,0.46605433995538925,0.36666666666666664
MAR,0.18158959426574,0.5665103791955127,0.25146519451625277,0.26465528648934766,0.5111111111111112,0.7555555555555555,0.5555555555555556,-0.5777777777777778,0.46605433995538925,0.3655555555555555
CYP,0.0,0.7705102080042787,0.22948979157990362,0.0,0.08888888888888889,0.8444444444444444,0.5333333333333333,-0.03333333333333333,0.46605433995538925,0.36444444444444446
GEO,0.7122677646254865,0.27968779920520787,0.008044435929887848,0.035904064340083294,0.9111111111111111,0.4,0.022222222222222223,-0.13333333333333333,0.46605433995538925,0.35222222222222216
BIH,0.43736687281927844,0.4036920579361614,0.15894106904169975,0.4218639083257276,0.8222222222222223,0.6222222222222222,0.33333333333333337,-0.6888888888888889,0.46605433995538925,0.34777777777777785
BGR,0.20368952845960736,0.32042253518674046,0.3166717697246883,0.25947187141216993,0.5777777777777778,0.4222222222222222,0.6666666666666667,-0.5555555555555556,0.46605433995538925,0.3344444444444445
XKX,0.02369828693635433,0.8734511470827738,0.10285056530377779,0.0,0.22222222222222224,0.9111111111111111,0.17777777777777778,-0.03333333333333333,0.46605433995538925,0.33222222222222225
AUT,0.5885328375080415,0.21991943273819653,0.1799274530094271,0.25791281999872406,0.8666666666666667,0.2888888888888889,0.4222222222222222,-0.5333333333333333,0.46605433995538925,0.33111111111111113
SWE,0.31299039004379897,0.05921989824625845,0.3899672131059363,0.23651245873468096,0.7111111111111111,0.11111111111111112,0.7333333333333334,-0.48888888888888893,0.46605433995538925,0.3266666666666667
HRV,0.37611572783910624,0.3360623780986842,0.28041448645113065,1.0154887680787774,0.8,0.4666666666666667,0.6,-0.9111111111111111,0.46605433995538925,0.3244444444444445
