from_iso3,to_iso3,existing_mw,planned_mw,multiplier,delta_mw,ren_op_src_mw,ren_pipe_src_mw,curtail_risk,unlock_potential,pipe_per_line_mw,lever_score_GW
DEU,GBR,0.0,2800.0,2800.0,2800.0,95806.7,28117.2,95806.7,44.242734737593715,10.038272045697965,0.0910465640310884
ITA,TUN,0.0,2600.0,2600.0,2600.0,33248.7,59377.8,33248.7,35.6118800461361,22.82883506343714,0.08187477229394237
GRC,LBY,0.0,2000.0,2000.0,2000.0,14625.8,104554.9,14625.8,59.56056971514243,52.25132433783108,0.07290209088014027
FRA,IRL,0.0,700.0,700.0,700.0,60080.3,27295.7,60080.3,124.64479315263908,38.93823109843081,0.07210021862176386
DNK,GBR,0.0,2800.0,2800.0,2800.0,8387.2,28705.1,8387.2,13.242520528382721,10.24816137093895,0.07171408254779713
AUT,SVK,0.0,500.0,500.0,500.0,16863.4,3312.6,16863.4,40.271457085828345,6.611976047904191,0.06050597957583597
HUN,SVN,0.0,1200.0,1200.0,1200.0,4380.1,447.0,4380.1,4.019233971690259,0.37218984179850123,0.05945766966223504
EST,LVA,0.0,2100.0,2100.0,2100.0,1733.6,13358.1,1733.6,7.1831032841504046,6.357972394098049,0.057059028965286036
LTU,POL,0.0,1000.0,1000.0,1000.0,3180.6,4106.5,3180.6,7.27982017982018,4.102397602397603,0.05572007102428053
CYP,EGY,0.0,2000.0,2000.0,2000.0,551.9,188.0,551.9,0.3697651174412793,0.09395302348825588,0.04800420235673808
CYP,GRC,0.0,2000.0,2000.0,2000.0,551.9,188.0,551.9,0.3697651174412793,0.09395302348825588,0.04800420235673808
CYP,ISR,0.0,2000.0,2000.0,2000.0,551.9,188.0,551.9,0.3697651174412793,0.09395302348825588,0.04800420235673808
LVA,SWE,0.0,500.0,500.0,500.0,2221.3,5790.0,2221.3,15.99061876247505,11.55688622754491,0.04790701900559811
DEU,SWE,615.0,1400.0,2.272727272727273,785.0,95806.7,28117.2,155.53035714285713,88.45389007851534,20.069379014989295,0.03661050062648959
DEU,POL,1000.0,2400.0,2.3976023976023977,1400.0,95806.7,28117.2,95.71098901098901,51.61345272802998,11.710620574760517,0.035584680154123215
