from_iso3,to_iso3,existing_mw,planned_mw,multiplier,delta_mw
KOS,SRB,574.0,0.0,0.0,-574.0
LTU,LVA,950.0,0.0,0.0,-950.0
LTU,RUS,0.0,0.0,0.0,0.0
LTU,SWE,700.0,0.0,0.0,-700.0
LVA,RUS,0.0,0.0,0.0,0.0
MDA,UKR,984.0,0.0,0.0,-984.0
MKD,SRB,540.0,0.0,0.0,-540.0
NLD,NOR,700.0,0.0,0.0,-700.0
NOR,RUS,0.0,0.0,0.0,0.0
NOR,SWE,3695.0,0.0,0.0,-3695.0
POL,SVK,1980.0,0.0,0.0,-1980.0
POL,SWE,600.0,0.0,0.0,-600.0
POL,UKR,1215.0,0.0,0.0,-1215.0
ROU,UKR,150.0,0.0,0.0,-150.0
RUS,UKR,0.0,0.0,0.0,0.0
SVK,UKR,650.0,0.0,0.0,-650.0
DZA,FRA,0.0,0.0,0.0,0.0
DZA,ITA,0.0,0.0,0.0,0.0
